Key_poliflw,Alt_map,Type,CBS CODE,CBS NAAM,CBS PROVINCIE CODE,CBS PROVINCIE NAAM
Kerkrade,Kerkrade,Gemeente,GM0928,Kerkrade,PV31,Limburg
Koggenland,Koggenland,Gemeente,GM1598,Koggenland,PV27,Noord-Holland
Krimpen aan den IJssel,Krimpen aan den IJssel,Gemeente,GM0542,Krimpen aan den IJssel,PV28,Zuid-Holland
Krimpenerwaard,Krimpenerwaard,Gemeente,GM1931,Krimpenerwaard,PV28,Zuid-Holland
Laarbeek,Laarbeek,Gemeente,GM1659,Laarbeek,PV30,Noord-Brabant
Land van Cuijk,Land van Cuijk,Gemeente,GM1982,Land van Cuijk,PV30,Noord-Brabant
Landgraaf,Landgraaf,Gemeente,GM0882,Landgraaf,PV31,Limburg
Landsmeer,Landsmeer,Gemeente,GM0415,Landsmeer,PV27,Noord-Holland
Lansingerland,Lansingerland,Gemeente,GM1621,Lansingerland,PV28,Zuid-Holland
Laren,Laren,Gemeente,GM0417,Laren,PV27,Noord-Holland
Leeuwarden,Leeuwarden,Gemeente,GM0080,Leeuwarden,PV21,Fryslân
Leiden,Leiden,Gemeente,GM0546,Leiden,PV28,Zuid-Holland
Leiderdorp,Leiderdorp,Gemeente,GM0547,Leiderdorp,PV28,Zuid-Holland
Leidschendam-Voorburg,Leidschendam-Voorburg,Gemeente,GM1916,Leidschendam-Voorburg,PV28,Zuid-Holland
Lelystad,Lelystad,Gemeente,GM0995,Lelystad,PV24,Flevoland
Leudal,Leudal,Gemeente,GM1640,Leudal,PV31,Limburg
Leusden,Leusden,Gemeente,GM0327,Leusden,PV26,Utrecht
Lingewaard,Lingewaard,Gemeente,GM1705,Lingewaard,PV25,Gelderland
Lisse,Lisse,Gemeente,GM0553,Lisse,PV28,Zuid-Holland
Lochem,Lochem,Gemeente,GM0262,Lochem,PV25,Gelderland
Loon op Zand,Loon op Zand,Gemeente,GM0809,Loon op Zand,PV30,Noord-Brabant
Lopik,Lopik,Gemeente,GM0331,Lopik,PV26,Utrecht
Losser,Losser,Gemeente,GM0168,Losser,PV23,Overijssel
Maasdriel,Maasdriel,Gemeente,GM0263,Maasdriel,PV25,Gelderland
Maasgouw,Maasgouw,Gemeente,GM1641,Maasgouw,PV31,Limburg
Maashorst,Maashorst,Gemeente,GM1991,Maashorst,PV30,Noord-Brabant
Maassluis,Maassluis,Gemeente,GM0556,Maassluis,PV28,Zuid-Holland
Maastricht,Maastricht,Gemeente,GM0935,Maastricht,PV31,Limburg
Medemblik,Medemblik,Gemeente,GM0420,Medemblik,PV27,Noord-Holland
Meerssen,Meerssen,Gemeente,GM0938,Meerssen,PV31,Limburg
Meierijstad,Meierijstad,Gemeente,GM1948,Meierijstad,PV30,Noord-Brabant
Meppel,Meppel,Gemeente,GM0119,Meppel,PV22,Drenthe
Middelburg,Middelburg,Gemeente,GM0687,Middelburg,PV29,Zeeland
Midden-Delfland,Midden-Delfland,Gemeente,GM1842,Midden-Delfland,PV28,Zuid-Holland
Midden-Drenthe,Midden-Drenthe,Gemeente,GM1731,Midden-Drenthe,PV22,Drenthe
Midden-Groningen,Midden-Groningen,Gemeente,GM1952,Midden-Groningen,PV20,Groningen
Moerdijk,Moerdijk,Gemeente,GM1709,Moerdijk,PV30,Noord-Brabant
Molenlanden,Molenlanden,Gemeente,GM1978,Molenlanden,PV28,Zuid-Holland
Montferland,Montferland,Gemeente,GM1955,Montferland,PV25,Gelderland
Montfoort,Montfoort,Gemeente,GM0335,Montfoort,PV26,Utrecht
Mook en Middelaar,Mook en Middelaar,Gemeente,GM0944,Mook en Middelaar,PV31,Limburg
Neder-Betuwe,Neder-Betuwe,Gemeente,GM1740,Neder-Betuwe,PV25,Gelderland
Nederweert,Nederweert,Gemeente,GM0946,Nederweert,PV31,Limburg
Nieuwegein,Nieuwegein,Gemeente,GM0356,Nieuwegein,PV26,Utrecht
Nieuwkoop,Nieuwkoop,Gemeente,GM0569,Nieuwkoop,PV28,Zuid-Holland
Nijkerk,Nijkerk,Gemeente,GM0267,Nijkerk,PV25,Gelderland
Nijmegen,Nijmegen,Gemeente,GM0268,Nijmegen,PV25,Gelderland
Nissewaard,Nissewaard,Gemeente,GM1930,Nissewaard,PV28,Zuid-Holland
Noardeast-Fryslân,Noardeast-Fryslân,Gemeente,GM1970,Noardeast-Fryslân,PV21,Fryslân
Noord-Beveland,Noord-Beveland,Gemeente,GM1695,Noord-Beveland,PV29,Zeeland
Noordenveld,Noordenveld,Gemeente,GM1699,Noordenveld,PV22,Drenthe
Noordoostpolder,Noordoostpolder,Gemeente,GM0171,Noordoostpolder,PV24,Flevoland
Noordwijk,Noordwijk,Gemeente,GM0575,Noordwijk,PV28,Zuid-Holland
"Nuenen, Gerwen en Nederwetten","Nuenen, Gerwen en Nederwetten",Gemeente,GM0820,"Nuenen, Gerwen en Nederwetten",PV30,Noord-Brabant
Nunspeet,Nunspeet,Gemeente,GM0302,Nunspeet,PV25,Gelderland
