Key_poliflw,Alt_map,Type,CBS CODE,CBS NAAM,CBS PROVINCIE CODE,CBS PROVINCIE NAAM
Boxtel,Boxtel,Gemeente,GM0757,Boxtel,PV30,Noord-Brabant
Breda,Breda,Gemeente,GM0758,Breda,PV30,Noord-Brabant
Bronckhorst,Bronckhorst,Gemeente,GM1876,Bronckhorst,PV25,Gelderland
Brummen,Brummen,Gemeente,GM0213,Brummen,PV25,Gelderland
Brunssum,Brunssum,Gemeente,GM0899,Brunssum,PV31,Limburg
Bunnik,Bunnik,Gemeente,GM0312,Bunnik,PV26,Utrecht
Bunschoten,Bunschoten,Gemeente,GM0313,Bunschoten,PV26,Utrecht
Buren,Buren,Gemeente,GM0214,Buren,PV25,Gelderland
Capelle aan den IJssel,Capelle aan den IJssel,Gemeente,GM0502,Capelle aan den IJssel,PV28,Zuid-Holland
Castricum,Castricum,Gemeente,GM0383,Castricum,PV27,Noord-Holland
Coevorden,Coevorden,Gemeente,GM0109,Coevorden,PV22,Drenthe
Cranendonck,Cranendonck,Gemeente,GM1706,Cranendonck,PV30,Noord-Brabant
Culemborg,Culemborg,Gemeente,GM0216,Culemborg,PV25,Gelderland
Dalfsen,Dalfsen,Gemeente,GM0148,Dalfsen,PV23,Overijssel
Dantumadiel,Dantumadiel,Gemeente,GM1891,Dantumadiel,PV21,Fryslân
Delft,Delft,Gemeente,GM0503,Delft,PV28,Zuid-Holland
Deurne,Deurne,Gemeente,GM0762,Deurne,PV30,Noord-Brabant
Deventer,Deventer,Gemeente,GM0150,Deventer,PV23,Overijssel
Diemen,Diemen,Gemeente,GM0384,Diemen,PV27,Noord-Holland
Dijk en Waard,Dijk en Waard,Gemeente,GM1980,Dijk en Waard,PV27,Noord-Holland
Dinkelland,Dinkelland,Gemeente,GM1774,Dinkelland,PV23,Overijssel
Doesburg,Doesburg,Gemeente,GM0221,Doesburg,PV25,Gelderland
Doetinchem,Doetinchem,Gemeente,GM0222,Doetinchem,PV25,Gelderland
Dongen,Dongen,Gemeente,GM0766,Dongen,PV30,Noord-Brabant
Dordrecht,Dordrecht,Gemeente,GM0505,Dordrecht,PV28,Zuid-Holland
Drechterland,Drechterland,Gemeente,GM0498,Drechterland,PV27,Noord-Holland
Drimmelen,Drimmelen,Gemeente,GM1719,Drimmelen,PV30,Noord-Brabant
Dronten,Dronten,Gemeente,GM0303,Dronten,PV24,Flevoland
Druten,Druten,Gemeente,GM0225,Druten,PV25,Gelderland
Duiven,Duiven,Gemeente,GM0226,Duiven,PV25,Gelderland
Echt-Susteren,Echt-Susteren,Gemeente,GM1711,Echt-Susteren,PV31,Limburg
